cid,mp
8190,"-18.7 °C"
6616,"52 °C"
24497,"1450 °C"
281,"-205.02 °C"
15324,"179 °C"
10364,"1 °C"
7864,"-103.5 °C"
24638,"-80 °C"
23976,"1907 °C"
311,"153 °C"
10255083,"136 °C (decomposes)"
N/A,"FP: 32 °F= 0 °C= 273 DEG K"
24504,"100 °C"
24462,"590 °C decomp"
10477,"-6.55 °C"
7965,"-17.7 °C"
6093208,"1076 °F (decomposes) (loses water)"
7716,"-14.4 °C"
10405,"-3.8 °C"
3026,"-35 °C"
5284359,"775 °C"
8113,"27.9 °C"
7766,"-43 °C"
6781,"-40.5 °C"
101667988,"-28 °C"
33599,"-50 °C"
7912,"-61 °C"
6497,"-27 °C"
674,"-93 °C"
7583,"26.865 °C"
24450,"Decomp"
8778,"25-27 °C"
31237,"3 °C"
8434,"117 °C"
300,"Exists in alpha, beta, and gamma forms having mp 63 °C, 55-56 °C, and 50 °C respectively. MP for acid of commerce: 61-63 °C"
264,"-7.9 °C"
6324,"-182.794 °C"
31278,"27 °C"
8025,"-80.5 °C"
7843,"-138.3 °C"
8467,"76.7 °C"
64685,"202 °C"
7111,"120 °C"
3485,"Freezing point: -14 °C"
10563,"1380 °C (decomposes)"
8606,"172.5 °C"
6129,"145 °C"
172866199,"Sublimes"
1548943,"65 °C"
5392,"30.0-30.5 °C"
14780,"About 1600 °C"
N/A,"Approx 260 °C"
14779,"Decomp at 200 °C"
24963,"About 560 °C"
12568,"37 °C"
7410,"19.4 °C"
24637,"-76.34 °C"
6406,"-19 °C"
10757,"56.5 °C"
6577,"-21.7 °C"
179,"15 °C"
6423,"-64 °C (-69.2 °C corr)"
10372,"21 °C"
16115,"151 °C"
2728,"40.7-41.1 °C"
221493,"198 °C (anhydrous)"
6900,"149-153 °C"
6209,"305 °C (decomposes)"
14012,">400 °C (OECD Guideline 102 (Melting point / Melting Range) resp. EU A.1 (melting / freezing temperature))"
24619,"540 °C (decomposes)"
N/A,"Decomposes at 300 °C"
24871,"824 °C"
22150757,"-96.5 °C"
2758,"1.5 °C"
638011,"Melting point <-10 °C."
9290,"120 °C"
84512,"1403 °C"
6277,"298 °C (decomposes)"
24610,"678 °C under HBr and molecular nitrogen"
10565,"280 °C (decomposes)"
3032536,"735 °C"
8178,"Freezing point: -44 °C"
5565,"12 °C"
5569,"42 °C"
16682931,"-5.6 °C (freezing point)"
24439,"1,184 °C"
8472,"-78 °C"
8635,"24.4 °C"
6397,"-40 °C"
8518,"228.7 °C (decomposes)"
11016,"41 °C"
2078,"40-41 °C"
7900,"-95 °C"
14815,"MP: decomposes at 100 °C; sol: 24.3 g/100 cc concn sulfuric acid at 13 °C; sol: 30 g/100 cc concn hydrochloric acid at 13 °C 20.5 g/100 cc water at 15.5 °C, 22.2 g/100 cc water at 100 °C /Trihydrate/"
